FN,LN,School,Department,City,State,OQ,WTA,LOD,gives good feedback,respected,lots of homework,accessible outside class,get ready to read,participation matters,skip class? you won't pass.,inspirational,graded by few things,test heavy,group projects,clear grading criteria,hilarious,beware of pop quizzes,amazing lectures,lecture heavy,caring,extra credit,so many papers,tough grader,number of comments,prof_id,num_female_words,num_male_words,percent_female,gender
Betty,Anderson,Boston University,History,Boston,MA,3,N/,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,1,4,58,68954,1551,0,1,female
Carol,Neidle,Boston University,Languages,Boston,MA,2.9,50,3.3,3,0,0,1,0,3,5,0,0,0,0,2,0,0,1,2,2,0,0,0,58,86878,1321,0,1,female
Robert,Pollack,Boston University,Ma,Boston,MA,4.9,100,2.4,3,6,4,2,0,0,2,5,0,1,0,0,4,0,9,2,4,0,0,2,58,506097,0,1275,0,male
Phyllis,McGinnis,Boston University,Business,Boston,MA,3.3,63,3,3,5,0,1,1,9,4,3,1,1,2,0,3,0,0,0,9,0,0,3,58,285992,1265,0,1,female
David,Roochnik,Boston University,Philosophy,Boston,MA,4.4,N/,3.4,0,3,0,0,1,2,6,4,1,0,0,0,4,2,1,0,0,0,0,2,58,70055,0,933,0,male
Takashi,Kimura,Boston University,Ma,Boston,MA,3.5,10,3.2,0,0,1,0,0,0,1,0,1,3,0,1,0,0,1,1,1,0,0,6,57,68095,0,760,0,male
Frank,Korom,Boston University,Religion,Boston,MA,3.2,14,2.8,0,0,1,0,3,1,4,0,3,0,0,0,0,2,0,3,0,0,0,4,57,93993,0,582,0,male
Steve,Quigley,Boston University,Communication,Boston,MA,4.2,86,2.8,4,1,2,2,2,1,2,2,1,0,0,2,0,1,2,0,0,0,0,1,56,68068,0,903,0,male
Sarah,Campbell,Boston University,English,Boston,MA,3.9,N/,2.7,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0,0,56,68144,1287,19,0.985451761,female
Alex,Levichev,Boston University,Ma,Boston,MA,2.4,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,78770,0,750,0,male
Andrew,Duffy,Boston University,Physics,Boston,MA,4.3,N/,3.1,0,2,0,2,0,0,4,1,0,0,0,1,2,0,0,0,0,0,0,3,56,81010,0,767,0,male
John,McGrath,Boston University,Social Science,Boston,MA,4.3,80,2.8,0,0,0,0,2,1,2,2,1,0,1,0,0,0,0,4,0,0,0,1,56,104280,0,1148,0,male
Stephen,Prothero,Boston University,Humanities,Boston,MA,4,N/,2.3,0,1,0,0,3,4,1,1,0,0,0,0,2,0,4,0,1,0,0,0,56,270190,0,847,0,male
Steve,Scheuerman,Boston University,Writing,Boston,MA,4.6,N/,2.9,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,56,327632,0,1131,0,male
Allison,Blyler,Boston University,Writing,Boston,MA,4.1,80,2.3,9,2,0,3,3,2,0,0,0,0,0,0,0,0,0,1,5,0,1,3,56,470508,1803,0,1,female
Thomas,Berger,Boston University,International Studies,Boston,MA,2.6,N/,3.5,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,56,487976,0,1086,0,male
Rebecca,Nichols,Boston University,Management,Boston,MA,3.7,60,3.6,4,3,1,2,4,17,10,0,1,0,7,1,0,0,3,1,3,0,0,15,56,1005869,1855,30,0.984084881,female
Tom,Whalen,Boston University,History,Boston,MA,4.7,N/,2.4,1,2,0,0,0,0,1,0,0,0,0,1,1,0,3,0,1,0,0,2,56,67888,0,1254,0,male
David,Green,Boston University,English,Boston,MA,4.3,N/,3.1,2,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,55,67965,0,936,0,male
Stephen,Esposito,Boston University,Humanities,Boston,MA,4.4,N/,2.7,1,1,2,0,6,3,2,2,0,0,0,0,0,2,2,0,0,6,2,1,55,68006,0,874,0,male
Barbara,Gottfried,Boston University,Women's Studies,Boston,MA,3.1,80,3.1,1,0,0,1,2,3,0,0,1,0,0,0,2,0,2,0,1,0,1,1,55,75960,1470,15,0.98989899,female
Mark,Williams,Boston University,Finance,Boston,MA,4.6,100,3.1,7,16,0,8,4,10,2,11,1,0,0,2,3,0,17,0,6,0,0,1,55,312225,0,948,0,male
Cutler,Cleveland,Boston University,Science,Boston,MA,4,N/,3,0,3,0,0,2,1,2,1,1,1,0,2,0,0,1,4,0,0,0,5,55,95411,30,728,0.039577836,male
Theo,Dewinter,Boston University,Engineering,Boston,MA,3.5,33,2.7,0,1,7,1,1,1,8,1,1,1,3,1,1,0,0,6,0,0,0,5,54,11010,37,1041,0.03432282,male
Edward,J.,Boston University,Communication,Boston,MA,4,73,2.4,1,4,2,3,8,2,6,2,0,0,1,4,1,0,5,2,3,3,0,2,54,68017,0,1077,0,male
Aline,Livni,Boston University,Languages,Boston,MA,2.8,N/,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,96782,1449,20,0.986385296,female
Daniel,Hudon,Boston University,Science,Boston,MA,2.8,N/,3.6,1,2,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,3,54,271631,0,1220,0,male
Rick,Cole,Boston University,Writing,Boston,MA,4.8,100,3,4,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,1,55,275471,0,1401,0,male
Julian,Zelizer,Boston University,History,Boston,MA,4.5,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,378215,0,631,0,male
Jason,Prentice,Boston University,Writing,Boston,MA,4.2,80,3.3,6,0,1,2,0,3,4,0,0,0,0,0,0,0,0,0,3,0,0,1,54,816216,0,1188,0,male
Edward,Loechler,Boston University,Biology,Boston,MA,4.1,71,3,1,10,1,2,2,1,13,7,1,4,0,6,1,1,8,13,9,0,0,4,56,305968,14,1084,0.012750455,male
Daniel,O.,Boston University,Philosophy,Boston,MA,3.8,N/,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,67898,0,559,0,male
John,Hall,Boston University,Communication,Boston,MA,3.8,N/,3.4,1,1,0,2,0,1,1,0,1,0,0,1,0,0,1,0,2,0,1,1,53,75156,0,1328,0,male
Stephanie,Nelson,Boston University,Humanities,Boston,MA,4.1,N/,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,53,77614,1121,0,1,female
Cheryl,Boots,Boston University,Humanities,Boston,MA,3.1,29,3.3,0,0,0,1,3,1,0,1,0,1,0,0,0,0,0,2,2,0,0,5,53,90629,1438,0,1,female
Georgia,Weinstein,Boston University,Science,Boston,MA,2.3,N/,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,122996,1200,24,0.980392157,female
William,Eldred,Boston University,Biology,Boston,MA,4.1,N/,2.8,0,1,0,0,1,0,3,0,0,0,0,0,2,0,1,0,0,0,0,4,53,170251,0,971,0,male
Mark,Passacantando,Boston University,Finance,Boston,MA,4.4,N/,2.9,1,2,0,0,0,2,2,3,0,0,0,0,0,0,4,0,2,4,0,0,53,613999,0,634,0,male
Eng,Wu,Boston University,Accounting,Boston,MA,2.7,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,53,743493,0,1250,0,male
Paul,Blanchard,Boston University,Ma,Boston,MA,4,75,2.9,0,3,0,3,1,1,0,2,0,1,1,5,1,0,2,1,1,0,0,1,53,150281,58,908,0.060041408,male
Julian,Go,Boston University,Sociology,Boston,MA,4.5,86,2.5,0,5,0,1,1,0,4,5,0,0,0,2,11,6,9,0,0,0,0,0,52,403298,35,838,0.040091638,male
Melanie,Smith,Boston University,Writing,Boston,MA,3.3,78,3.8,7,0,1,1,1,5,4,1,2,0,1,0,3,0,0,0,3,0,4,4,52,1187195,1657,0,1,female
Leland,Neuberg,Boston University,Ma,Boston,MA,2.1,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,142198,0,761,0,male
William,Tilchin,Boston University,Social Science,Boston,MA,4.5,N/,2.8,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,51,163569,0,991,0,male
Raj,Mohanty,Boston University,Physics,Boston,MA,3.4,N/,3.1,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,51,221944,47,903,0.049473684,male
Walter,Hopp,Boston University,Philosophy,Boston,MA,4,67,2.8,3,6,0,0,3,0,0,2,0,0,0,1,5,0,7,1,2,0,0,1,51,714429,0,945,0,male
Lori,Chibnik,Boston University,Ma,Boston,MA,4.4,N/,1.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,755766,1099,0,1,female
Ben,Campbell,Boston University,Anthropology,Boston,MA,2.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,67886,0,816,0,male
Drue,Coles,Boston University,Computer Science,Boston,MA,3.8,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,67945,0,389,0,male
Anthony,Wallace,Boston University,English,Boston,MA,3.4,N/,3.4,4,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,50,67988,0,886,0,male
Zenryu,Shirakawa,Boston University,Languages,Boston,MA,4.1,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,68365,0,661,0,male
David,Marchant,Boston University,Science,Boston,MA,4.6,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,76601,0,775,0,male
Pedro,Lasarte,Boston University,Languages,Boston,MA,4.4,N/,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,86887,0,765,0,male
Ming-Chang,Lee,Boston University,Engineering,Boston,MA,3.4,67,2.8,0,1,1,2,0,2,6,2,0,0,0,0,0,0,3,2,2,1,0,2,50,148339,0,1086,0,male
Diane,Balser,Boston University,Women's Studies,Boston,MA,3,N/,2.9,1,1,0,0,0,2,1,4,0,0,0,0,0,0,1,1,0,0,2,0,50,67973,1307,0,1,female
John,Gerring,Boston University,Political Science,Boston,MA,1.9,N/,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,44532,0,347,0,male
Elizabeth,Lozano,Boston University,Languages,Boston,MA,2.9,N/,4,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,49,68067,1326,0,1,female
Cathie,Jo,Boston University,Political Science,Boston,MA,3.5,100,3.5,1,1,0,1,2,0,0,0,1,1,0,0,4,0,2,2,2,0,1,0,49,75841,1174,0,1,female
Leonard,Andres,Boston University,Natural Sciences,Boston,MA,3.7,N/,3.4,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,2,0,0,3,49,92255,0,827,0,male
Robert,Lucas,Boston University,Economics,Boston,MA,3.3,N/,3.9,1,2,0,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,0,1,49,228382,0,979,0,male
Christopher,Fahy,Boston University,Humanities,Boston,MA,3.1,N/,3.7,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,49,243303,12,1097,0.010820559,male
James,Baldwin,Boston University,Geography,Boston,MA,4,88,2.9,1,4,0,0,0,1,14,7,2,5,2,5,10,0,11,8,1,1,0,5,49,308142,0,900,0,male
Susan,Dorff,Boston University,Languages,Boston,MA,4.2,N/,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,95151,930,0,1,female
Ray,Wilson,Boston University,Accounting,Boston,MA,4.7,N/,2.6,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,0,3,0,0,0,49,149327,0,740,0,male
Hsueh-Ling,Huynh,Boston University,Economics,Boston,MA,3.5,N/,2.6,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,48,240483,0,767,0,male
Deborah,Utter,Boston University,Business,Boston,MA,4,N/,2.8,1,1,1,1,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,48,257178,1073,0,1,female
Wayne,Snyder,Boston University,Computer Science,Boston,MA,4,50,3.1,2,11,13,3,2,0,5,4,1,3,0,1,7,0,4,3,6,0,0,3,49,224558,0,940,0,male
Sarah,Hanselman,Boston University,Writing,Boston,MA,3.5,39,3.8,10,3,6,1,5,2,4,2,0,2,1,4,0,0,0,2,9,0,6,25,48,1180978,1102,0,1,female
Sarah,Phillips,Boston University,History,Boston,MA,3.9,N/,2.6,0,1,0,0,2,0,1,0,0,0,0,1,0,3,0,0,1,0,0,1,47,80931,958,24,0.975560081,female
Simon,Gilchrist,Boston University,Economics,Boston,MA,2.3,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47,85749,33,547,0.056896552,male
Polly,Rizova,Boston University,Social Science,Boston,MA,2.8,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,94723,1016,0,1,female
Carrie,Bennett,Boston University,Writing,Boston,MA,4,N/,3,7,6,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,6,47,472269,1417,0,1,female
Richard,Lawler,Boston University,Anthropology,Boston,MA,4.6,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,480209,0,877,0,male
Sean,Elliott,Boston University,Chemistry,Boston,MA,3.5,N/,4.1,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,1,47,836627,0,1092,0,male
Herb,Golder,Boston University,Humanities,Boston,MA,2.8,20,3.1,0,1,0,1,4,0,8,2,2,1,0,0,1,0,1,6,0,0,0,0,47,287856,43,1054,0.039197812,male
Bruce,Anderson,Boston University,Geography,Boston,MA,3.8,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,46,68994,0,494,0,male
Robert,Levine,Boston University,English,Boston,MA,4.2,N/,3.7,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,46,69066,0,974,0,male
Deeana,Klepper,Boston University,Theology,Boston,MA,3.8,N/,3.5,1,0,2,0,7,0,3,1,0,0,0,0,0,0,2,1,2,1,0,5,46,73758,986,0,1,female
Phil,Tate,Boston University,Education,Boston,MA,4.4,N/,3,1,3,1,0,1,1,3,1,0,0,0,1,0,0,0,5,2,0,0,2,46,79651,0,685,0,male
Mike,Oshins,Boston University,Hospitality,Boston,MA,4,N/,2.9,0,0,0,0,0,2,1,1,0,0,3,0,0,0,1,1,0,0,0,2,46,92539,0,1071,0,male
Simon,Keller,Boston University,Philosophy,Boston,MA,4.1,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,104915,0,501,0,male
Brian,Shawver,Boston University,Writing,Boston,MA,3.1,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,273103,29,856,0.032768362,male
Sue,Griffin,Boston University,Languages,Boston,MA,4.6,80,2.3,2,2,0,0,0,4,0,0,0,0,1,1,0,0,0,0,2,0,0,0,46,507045,1264,37,0.971560338,female
Dustin,Supa,Boston University,Communication,Boston,MA,3.9,79,3.3,2,2,1,1,13,4,8,1,3,3,1,1,8,2,5,13,0,3,1,5,46,1629011,0,1077,0,male
Tom,Anastasi,Boston University,Marketing,Boston,MA,2.6,N/,2.9,0,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0,0,0,2,46,55793,0,545,0,male
Chris,Schneider,Boston University,Science,Boston,MA,4.1,N/,2.4,0,1,1,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,45,67907,0,377,0,male
Daniel,Monti,Boston University,Social Science,Boston,MA,3.2,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,69296,21,354,0.056,male
Leland,Monk,Boston University,English,Boston,MA,3.5,N/,3.4,0,0,0,0,0,1,3,1,0,0,0,0,0,2,0,3,0,0,1,1,45,71485,0,622,0,male
Leslie,Hawkes,Boston University,Languages,Boston,MA,3.5,N/,2.4,1,0,0,0,0,3,2,0,1,0,2,0,3,1,1,0,1,0,1,1,45,79102,1158,0,1,female
Samantha,Myers,Boston University,English,Boston,MA,4.4,71,3.2,9,3,1,2,0,3,2,2,1,0,0,0,0,1,0,0,3,0,0,7,45,85279,1091,0,1,female
Tomas,Kohn,Boston University,Business,Boston,MA,3.6,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,86055,0,562,0,male
Samuel,Hammer,Boston University,Biology,Boston,MA,3,N/,3.4,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,45,172072,0,868,0,male
Lesley,Yoder,Boston University,Languages,Boston,MA,4.7,N/,2.3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,205446,809,0,1,female
Michael,Pencina,Boston University,Ma,Boston,MA,4,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,287937,17,625,0.026479751,male
Geoffrey,Cooper,Boston University,Biology,Boston,MA,3.4,N/,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,296134,0,629,0,male
Brian,Persaud,Boston University,Ma,Boston,MA,4.8,N/,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,1491439,0,1226,0,male
Maciej,Szczesny,Boston University,Ma,Boston,MA,4.3,100,2.8,0,5,2,1,0,0,2,3,0,1,0,0,10,0,5,3,3,0,0,0,45,787083,0,959,0,male
Jeff,Allen,Boston University,Information Science,Boston,MA,4,57,3.3,1,3,0,1,2,1,1,5,0,1,0,0,0,0,4,0,0,0,0,1,45,326402,0,1167,0,male
Taline,Voskeritchian,Boston University,Communication,Boston,MA,3.2,N/,4.2,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,4,45,70475,1067,0,1,female
Eugene,Wayne,Boston University,Ma,Boston,MA,4.5,92,2.7,1,5,6,0,1,1,0,7,0,0,0,2,7,1,6,0,4,1,0,1,44,68113,0,761,0,male
Rick,Murray,Boston University,Science,Boston,MA,4.6,N/,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,68125,0,398,0,male
Chip,Celenza,Boston University,Biology,Boston,MA,3.9,71,2.8,0,1,5,1,0,0,1,1,3,3,0,0,1,0,0,2,3,0,0,2,44,190258,0,658,0,male
Judith,Swanson,Boston University,Political Science,Boston,MA,2.8,50,3.3,2,1,2,1,3,2,0,0,0,1,0,0,0,0,0,3,1,0,0,0,45,75968,1141,12,0.989592368,female
Anna,Geifman,Boston University,History,Boston,MA,3.1,N/,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,44538,830,0,1,female
Aki,Kanamori,Boston University,Ma,Boston,MA,4,100,3.2,1,4,1,2,1,1,1,0,0,0,0,0,0,0,2,2,1,0,0,0,43,44739,0,486,0,male
John,Clarke,Boston University,Astronomy,Boston,MA,4,N/,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,68921,0,353,0,male
Thomas,Bania,Boston University,Astronomy,Boston,MA,3.1,50,3.4,0,0,1,0,1,1,0,1,1,0,0,2,0,0,0,3,1,0,0,0,43,84579,47,760,0.058240397,male
Mark,Kon,Boston University,Ma,Boston,MA,3.8,N/,3.3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,43,92253,0,586,0,male
Robert,Hausman,Boston University,Science,Boston,MA,3,N/,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,97466,0,648,0,male
Frederique,Donovan,Boston University,Languages,Boston,MA,3.7,N/,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,256564,1070,0,1,female
Jon,Westling,Boston University,History,Boston,MA,3,20,2.3,1,0,0,0,1,1,2,1,2,0,0,1,0,0,1,3,1,0,0,1,43,259891,0,830,0,male
Timothy,Kohl,Boston University,Ma,Boston,MA,3.5,N/,2.6,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,3,0,0,0,43,281363,0,797,0,male
James,Schmidt,Boston University,Political Science,Boston,MA,3.8,N/,2.9,1,1,1,1,6,1,1,0,2,0,0,0,0,0,0,1,1,0,1,2,43,390039,0,876,0,male
Brendan,McConville,Boston University,History,Boston,MA,3.4,N/,4,1,1,0,0,5,1,1,1,0,0,0,0,1,0,1,1,0,0,0,6,43,484120,0,861,0,male
Kevin,Barents,Boston University,Writing,Boston,MA,3.6,N/,2.6,2,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,1,2,43,688447,0,637,0,male
Theo,Vo,Boston University,Ma,Boston,MA,3,45,4,3,10,18,1,0,0,9,2,2,7,0,1,1,1,9,4,0,1,1,15,43,2041324,0,682,0,male
Ranga,Myneni,Boston University,Science,Boston,MA,4.1,N/,2.1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,43,322847,0,478,0,male
Andre,Switala,Boston University,Economics,Boston,MA,3.2,45,3.8,3,3,9,2,6,1,11,5,4,6,0,1,1,0,6,16,3,0,0,25,44,2015163,0,993,0,male
Beate,Alhadeff,Boston University,Languages,Boston,MA,4.3,N/,2.8,2,0,0,0,0,1,1,0,0,0,2,1,2,0,0,0,1,0,0,0,42,75947,852,0,1,female
Igor,Lukes,Boston University,International Studies,Boston,MA,4.2,N/,2.7,0,2,0,0,3,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,42,87224,0,634,0,male
Diana,Lobel,Boston University,Theology,Boston,MA,3.5,N/,2.7,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,42,94557,1251,0,1,female
John,Caradonna,Boston University,Chemistry,Boston,MA,4.1,N/,4.2,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,6,42,385691,0,834,0,male
Liam,Meyer,Boston University,English,Boston,MA,4.3,100,3.1,18,2,0,3,6,2,1,2,1,0,0,1,1,0,3,0,10,0,2,0,42,469568,0,923,0,male
Kathleen,Martin,Boston University,Social Science,Boston,MA,3.4,N/,3.6,0,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,42,487795,1483,12,0.991973244,female
Michelle,Hoover,Boston University,Writing,Boston,MA,4.4,N/,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1269100,908,28,0.97008547,female
Erika,Wells,Boston University,Psychology,Boston,MA,3.3,50,3.3,1,3,4,3,5,9,21,2,1,0,1,9,5,6,3,5,3,2,1,9,42,2036206,1424,17,0.988202637,female
Benjamin,Koskinen,Boston University,Economics,Boston,MA,3.8,85,3.1,4,4,4,5,1,6,21,3,0,1,3,9,14,0,4,5,4,5,1,9,42,1938507,0,1044,0,male
Michael,Dowding,Boston University,Communication,Boston,MA,4.4,83,3.9,7,2,3,0,1,0,3,0,0,0,0,2,1,0,1,0,0,0,2,4,42,68009,0,863,0,male
Kathleen,Malley-Morrison,Boston University,Psychology,Boston,MA,3.5,N/,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,76248,922,0,1,female
Jay,Corrin,Boston University,Social Science,Boston,MA,4.6,N/,3.6,1,1,0,1,2,4,0,2,0,1,0,0,1,1,2,0,3,0,0,1,41,111316,0,426,0,male
John,Porco,Boston University,Chemistry,Boston,MA,3.7,80,3.2,0,0,2,2,0,0,0,0,0,2,0,3,0,0,0,2,0,2,0,2,41,256818,0,637,0,male
Mark,Roberts,Boston University,Business,Boston,MA,3.4,N/,3.5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,41,400806,0,843,0,male
Doe,West,Boston University,Psychology,Boston,MA,4.8,N/,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,811776,1310,0,1,female
Houchang,Chehabi,Boston University,International Studies,Boston,MA,4.3,82,2.8,0,6,0,1,1,0,9,0,5,1,0,1,0,0,6,4,0,0,0,1,42,858280,0,875,0,male
Abram,Trosky,Boston University,Political Science,Boston,MA,4.5,N/,3.3,4,2,0,0,4,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,41,969171,0,948,0,male
Jeff,Coulter,Boston University,Sociology,Boston,MA,3.9,N/,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1076198,32,410,0.07239819,male
William,Saturno,Boston University,History,Boston,MA,4.1,N/,2.4,1,0,0,0,0,1,2,0,0,0,0,3,3,0,5,0,0,0,0,1,41,1187237,33,758,0.041719343,male
Bjorn,Reinhard,Boston University,Chemistry,Boston,MA,2.3,N/,4.2,0,1,2,0,6,1,7,0,0,0,0,2,0,1,1,11,0,0,0,14,41,1322989,0,839,0,male
Charles,Chang,Boston University,Languages,Boston,MA,4.2,91,3.3,11,11,9,12,0,1,4,6,0,0,0,0,15,0,18,0,13,2,0,7,41,2114976,0,260,0,male
John,Paul,Boston University,Literature,Boston,MA,3.1,N/,3.2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,40,54576,0,413,0,male
Henry,Marcucella,Boston University,Psychology,Boston,MA,2.6,N/,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,67928,0,392,0,male
Frans,Ryckebosch,Boston University,Business,Boston,MA,4.2,N/,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,68424,0,657,0,male
Paul,Zimansky,Boston University,Humanities,Boston,MA,3.2,N/,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,68565,0,366,0,male
Robert,Richardson,Boston University,Languages,Boston,MA,4.7,N/,1.8,3,1,0,0,3,1,0,3,0,0,0,0,4,0,1,0,2,0,0,0,40,68956,0,566,0,male
Ibrahim,Matta,Boston University,Computer Science,Boston,MA,4,91,3.3,3,7,4,3,1,1,7,0,1,1,0,3,2,0,0,0,4,0,0,2,40,69510,0,707,0,male
James,Johnson,Boston University,History,Boston,MA,4.2,N/,3,0,2,0,1,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,40,70058,0,744,0,male
Mark,Richardson,Boston University,Psychology,Boston,MA,2.7,N/,2.8,1,0,0,0,2,2,0,0,1,1,0,1,0,0,0,5,0,0,0,0,40,102746,0,693,0,male
Steven,Katz,Boston University,History,Boston,MA,4.3,N/,2.3,0,3,0,0,0,0,4,4,2,0,0,1,1,0,2,1,0,0,0,1,40,268798,0,725,0,male
Matthew,Caswell,Boston University,Philosophy,Boston,MA,3.2,N/,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,275273,0,549,0,male
Ray,Nagem,Boston University,Engineering,Boston,MA,4.9,100,2.9,6,9,2,0,0,0,0,4,0,1,0,0,1,0,5,0,7,0,0,0,40,381035,0,847,0,male
Cara,Diyanni,Boston University,Psychology,Boston,MA,4.9,N/,2.4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,40,584209,1019,0,1,female
Gina,Cogan,Boston University,Religion,Boston,MA,3.6,N/,2.5,0,0,0,0,4,0,2,0,0,0,0,2,1,0,0,1,0,0,0,3,40,757813,1345,0,1,female
Jura,Avizienis,Boston University,English,Boston,MA,4.6,100,2.5,6,2,0,2,4,2,0,0,0,0,0,2,0,0,0,0,2,1,0,0,40,1193148,1060,12,0.98880597,female
